OR,OT
000334-15,"An ordinance adopting/approving the Davao City Disaster Risk Reduction and Management Fund Investment Plan (DCRRMFIP) for CY 2015, as prepared and approved by the Davao City Disaster Risk Reduction and Management Council in the amount of Five Hundred Forty-Four Million Nine Hundred Thirty-Five Thousand Three Hundred Forty-Three Pesos and 69/100 (P544,935,343.69)"
000339-15,"An ordinance amending Ordinance No. 0353-12, Series of 2012, entitled ""Promoting Public Private Partnerships (PPP) in the financing, construction, operation and maintenance of local government infrastructure and development projects, as amended"
000363-15,"An Ordinance renaming Aledia Elementary School to Alfredo A. Aledia Elementary School, located at Sitio Bucana, Barangay Lasang, Bunawan District, this City"
000102-03,"Amending further Ordinance No. 230, series of 1991, otherwise known as the Local Tax Code of Davao City, as amended, specifically the requirements for tourism-oriented and tourism-related businesses, trade and occupation and one-time registration of first-time tourism-oriented and tourism-related businesses, trade and occupation, and for other purposes"
000111-03,"Revising Article 12 of Ordinance No. 230, series of 1991, otherwise known as the ""Local Tax Code of Davao City"" specifically on Professional Tax"
000121-03,"Creating the Barangay Tourism, Arts and Culture Council, and defining its powers and functions and for other purposes"
000014-07,"An Ordinance for the Comprehensive Urban Shelter and Services Development Code of Davao City, otherwise known as the ""Shelter Codeof Davao City""  (IRR is attached)"
000132-03,Amending the Women Development Code and Creating the Integrated Gender and Development Division under the City Mayor`s Office with eight (8) plantilla positions under it
000148-03,Authorizing the privatization of the operation of the Ma-a Slaughterhouse and all other city-run slaughterhouses
000153-03,Ratifying the fees prescribed under Republic Act No. 9048 on filing and service fees for Petitions to correct clerical or typographical errors and change of first names or nicknames in Birth Certificates and all other Civil Registry documents
000154-03,"Amending Ordinance No. 042-02, series of 2002, otherwise known as the ""Comprehensive Truck Ban Ordinance of Ordinance of Davao City"" particularly Section 2 - Area of Coverage"
000170-03,"Amending Ordinance No. 110, series of 1970, Prescribing the song ""Tayo Ay Dabawenyo"" as the official song of Davao City"
000280-06,The Anti-Smoke Belching Ordinance of Davao City
000535-16,"An ordinance granting authority to the City Mayor to accept and sign, for and in behalf of the City Government of Davao, the Deed of Donation to be executed by the Alsons Development and Investment Corporation in favor of the City Government of Davao, relative to Lot 1415-A-1-A-4, Lot 1415-A-1-A-5 and Lot 1415-A-1-6, located in Cabantian, Buhangin District, this city"
000410-10,"An Ordinance known as the ""New Davao City Tricycle For Hire (TFH) Franchising and Regulatory Code of 2010"" amending City Ordinance No. 1692, series of 1994"
