OR,OT
000363-82,"An Ordinance adopting a comprehensive zoning regulations for the City of Davao and providing for the administration, enforcement and amendment thereof and for the repeal of all ordinances in conflict therewith"
000036-99,"Amending Ordinance No. 2269-A, series of 1994, as amended by Ordinance No. 4603-A, series of 1997, otherwise known as the Rules and Regulations Implementing the Davao City Investment Incentive Code, as amended, and for related purposes"
000057-99,"Ordinance requiring the compulsory attachment of authenticated/true copies of birth certificates of all employees and/or workers be they permanent, temporary, provisional, seasonal, regular and contractual, etc. employed as entertainers, guest relation officers (GROs), hospitality workers/dancers, dance instructors (DIs), club waiters and waitresses and workers in the commercial entertainment industry to the business permits of employing establishments in order to further protect the rights of children from abuse, exploitation and for other purposes"
000062-99,Ordinance Creating Personal and Confidential Staff Plantilla Positions for the Members of the Sangguniang Panlungsod
000064-99,"Amending Section 1(A) of Ordinance No. 2374, series of 1994, otherwise known as ""An Ordinance Approving the Organizational Structure and Staffing Pattern of the City Government of Davao and for other Purposes"""
000041-02,"Promulgating policies and measures for the prevention and control of STI, HIV/AIDS in Davao City, strenghtening the Davao City Aids Council and providing penalties for violations thereof and for other purposes"
000042-02,Amending and Modifying theTruck Ban Ordinances of Davao City
000043-02,Approving the Comprehensive Anti-Smoking Ordinance of Davao City
000044-02,Creating and constituting an Ad Hoc City Ecological Solid Waste Management Board
000064-02,"Prohibiting retailers, wholesalers, grocery stores, convenience stores and other businesses from selling or allowing to be sold to minors in their respective stores and establishments cigarettes and other tobacco products, beer, liquor and other intoxicating beverages and prohibiting minors aged 17 and below from buying, ordering, serving, selling or drinking beer, liquor, coconut wines and other intoxicating beverages, as well as buying, ordering or smoking cigarettes & other tobacco products, etc."
000060-02,"Prohibiting the manufacture, sale, distribution, possession or use of firecrackers or pyrotechnic devices and such other similar devices and the exploding of firecrackers or other similar explosives within the territorial jurisdiction of Davao City"
000084-03,"Amending Ordinance No. 5003, series of 1997, otherwise known as the ""Cockfighting Code of Davao City "" as amended by Ordinance No. 054, series of 1999, particularly Item No. 4, Section 9 on Cockpit and Cockfighting Fees and Charges and Section 3, paragraphs (h) and (i) thereof"
000738-78,An Ordinance requiring all motorcycle owners within the Teritorial Jurisdiction of Davao City to install silencers to minimize the noise while the motorcycle is in operation or in motion.
000737-78,An Ordinance requiring all motocycle drivers and riders plying along city streets and national highways within the territorial jurisdiction of Davao City to wear crash helmets of any kind while operating said motorcycle and providing penalty for violation thereof.
000189-06,"Ordinance further amending Ordinance No. 737, series of 1978, by requiring drivers and riders of single motorcycles plying along the city streets and national highways within the territorial jurisdiction of Davao City to wear crash helmets while operating or riding on said motorcycles, limiting the number of back riders or riders thereof to only one (1) person; strictly prohibiting the use of single motorcycles as public transport units or conveyances, and imposing penalties for violations thereof"
000110-70,"Prescribing the song ""Tayo ay Dabawenyo"" music by Mr. C.B. Anajao of the Sta. Ana Central Elem. School, this City, and lyrics by Pedro O. Sanvicente, Superintendent of City Schools, and the official song of the City of Davao"
000778-73,"An Ordinance amending and revising Ord. No. 9, s. of 1948, OTHERWISE KNOWN AS THE TRAFFIC ORDINANCE OF THE CITY OF DAVAO,TO BE DESIGNATED AS THE REVISED TRAFFIC ORDINANCE OF THE CITY OF DAVAO"
000095-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN,  FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO,  THE AMENDED MEMORANDUM OF AGREEMENT ON EDUCATIONAL PROGRAM OF NCCC CARES,  INCORPORATED AND THE CITY GOVERNMENT OF DAVAO"
000139-17,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO UTILIZE A PORTION OF THE THIRTY PERCENT (30%) QUICK RESPONSE FUND (QRF) OUT OF THE FIVE PERCENT (5%) DISASTER RISK REDUCTION AND MANAGEMENT FUND (CALAMITY FUND) OF THE CITY GOVERNMENT OF DAVAO FOR CY 2017, IN THE TOTAL AMOUNT OF FIVE HUNDRED THOUSAND PESOS (P500,000.00) TO EXTEND ADDITIONAL FINANCIAL ASSISTANCE TO THE VICTIMS OF TYPHOON NINA THAT HIT THE MUNICIPALITIES OF BUENAVISTA AND STA. CRUZ, ALL OF MARINDUQUE PROVINCE"
000229-04,"Amending Ordinance No. 0209-04-A, series of 2004, by extending the Catitipan via Dacudao Route from Bangoy Street to Lizada Street"
004042-96,"An Ordinance revising the Zoning Regulations for the City of Davao and providing for the administration, enforcement and amendment thereof and for the repeal of all ordinances in conflict therewith"
000088-05,"Ordinance Requiring all Recruiters and/ or Recruitment Agencies not based in the City of Davao to secure a Special Mayor’s Permit to conduct recruitment, and for related purposes"
000032-04,"Ordinance directing the City Treasurer to collect the City Government`s share in the proceeds from the development and utilization of the National Wealth in accordance with Sections 289, 290, 291 and 292 of RA 7160, otherwise known as the Local Government Code of 1991"
000655-92,"An Ordinance creating and establishing the Management Board of Tomas Monteverde, Sr. Sports Complex of Davao City, defining its functions and responsibilities, and for other purposes"
000051-89,"An Ordinance shall be known as ""An Ordinance Regulating the Operation of Video Game Machines for Commercial Purposes in the City of Davao."
000910-79,"An ordinance prohibiting any person from urinating and/or defecating within the public view in any street, alley, highway and any place within the vicinity of any public building  in Davao City and providing penalties  in case of violation thereof."
000035-99,"Ordinance Amending Ordinance No. 2017, series of 1994, as amended by Ordinance No. 4603, series of 1997, otherwise known as the Davao City Investment Incentive Code, as amended, and for related purposes"
000038-99,"Ordinance creating the City Cooperative Development Office (CCDO), appropriating funds therefor, and for other purposes"
000040-99,"Ordinance Amending Ordinance No. 37, series of 1956, otherwise known as ""An Ordinance Regulating the Establishment, Maintenance and Operation of Bars in the City of Davao"""
000042-99,Ordinance Establishing footbaths and quarantine stations in all passenger terminals and major points of entry within the City of Davao
000043-99,"Amending Section 48-A of Ordinance No. 230, series of 1991, otherwise known as the Local Tax Code, as amended by Ordinance No. 895, series of 1993, prohibiting the selling, buying or bringing for business, commerce or consumption within the territorial jurisdiction of Davao City, unprocessed and semi-processed carcasses or meat by-products of animals and fowls slaughtered in places other than the city-operated slaughterhouses, or those authorized by the City Government and which have not undergone any heating process"
000045-99,Ordinance Monitoring and Controlling the Slaughter of Carabaos
000054-99,"Amending certain provisions of Ordinance No. 5003, series of 1997, otherwise known as the ""Cockfighting Code of Davao City"" specifically on the definition of Special Permit"
000088-13,"An Ordinance granting authority to the City Mayor to release the Productivity Enhancement Incentive (PEI) based on Resolution No. 012-13, Series of 2013 of the Local Finance Committee (LFC), City Government of Davao entitled ""Recommending approval the implementing guidelines on the grant of incentive for plantilla personnel consultants, job order/contract of service, including grant-in-aid, day care workers, barangay health workers, barangay nutrition scholars, and auxilliary personnel of the City Government of Davao, in recognition of their valuable support in the performance of actual duties and responsibilities towards the attainment and successful accomplishment of the city`s vision, mission and goal, chargeable against any savings of 2013 appropriations,"" in accordance with the Deparrtment of Budget and Management (DBM) guidelines, subject to Commission on Audit (COA) auditing rules and regulations"
000089-13,"An Ordinance creating the policies and guidelines in the establishment and regulation of the night market and weekend street market in the City of Davao, as amended"
000112-14,An Ordinance creating the Davao City Physical Fitness and Sports Development Council (DCPFSDC)
000113-14,"An Ordinance amending City Ordinance No. 0195-04, Series of 2004, otherwise known as the ""Amended Rerouting Scheme of Davao City"" for a thirty (30) day experimental period"
000137-14,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and between the City Government of Davao and the Department of Education, implementing the project ""Sa Paaralan Ko, Pwede Nang Magrehistro"""
000141-14,"An Ordinance granting legislative authority to the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Understanding (MOU) to be entered into by and between the City Government of Davao and Korea Engineering and Construction Co., Ltd. (KEC), represented by Mr. Seol Young Man, Chief Executive Officer, for the conduct of a master plan and and pre-feasibility studies for the Davao Light Rail Trnasit (LRT) Railway Project"
000115-14,"An Ordinance establishing policies, guidelines and rules and regulations for the operation and maintenance of the Pasalubong Center, a tourism-oriented project of the City Government of Davao"
000171-14,The Davao City Adopt-a-Dog (DAD) Ordinance
000447-70,"Garbage disposal and collection Ordinance of the City of Davao, and prescribing rates of payment thereof"
000117-16,"An ordinance accepting the Deed of Donation of the road lots and alleys of La Vista Monte Village Phase 2B loacted in Matina Pangi, this city, executed by Santos Land Development Corporation, represented by its President, Mr. Antonio S. Domingo, in favor of the City of Davao and authorizing the City Mayor of Davao to accept and sign the Deed of Donation, for and in behalf of the City Government of Davao"
000120-16,"An ordinance authorizing the City Treasurer to open Trust Accounts for I-REAP subproject entitled ""CACAO PRODUCTION AND MARKETING OF DRY FERMENTED BEANS"" under the Philippine Rural Development Project (PRDP), of the Department of Agriculture (DA)"
000068-11,"AN ORDINANCE GRANTING THE CITY MAYOR SARA Z. DUTERTE LEGISLATIVE AUTHORITY TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DEPARTMENT OF EDUCATION (DepEd), RELATIVE TO THE IMPLEMENTATION OF THE PROJECT OF THE CITY CIVIL REGISTRAR ENTITLED “SA PAARALAN KO, PWEDE NG MAGREHISTRO”"
000134-17,AN ORDINANCE GRANTING AUTHORITY TO THE CITY MAYOR TO SIGN THE PERFORMANCE COMMITMENT FOR HCIs (REVISION 2) AND PROVIDER DATA RECORD HEALTH CARE INSTITUTION OF TORIL HEALTH CENTER BIRTHING HOME FOR ITS APPLICATION FOR PHILHEALTH ACCREDITATION FOR MATERNITY CARE
000138-17,"AN ORDINANCE AMENDING  CITY ORDINANCE NO. 0195-04, SERIES OF 2004, OTHERWISE KNOWN AS THE ""AMENDED REROUTING SCHEME OF DAVAO CITY"", FOR THE ROUTE ADJUSTMENT OF ROUTE 1 TURNING POINTS ALONG CIRCUMFERENTIAL ROAD AND LOPEZ JAENA STREET"
000025-04,"Ordinance authorizing the City Mayor`s Office to implement a scheme to collect payment of necessary business permit fees for Short-Term or Seasonal Businesses prior to inspection, otherwise known as ""Pay-Now Inspect-Later"" Policy subject to existing rules and regulations"
000593-92A,"An Ordinance approving and adopting the assessment levels as provided for in Section 218, of RA 7160, otherwise known as the Local Government Code of 1991"
000592-92,"AN ORDINANCE APPROVING THE SCHEDULE OF FAIR MARKET VALUE FOR THE 1993 GENERAL REVISIONS, TO TAKE EFFECT ON JANUARY 1, 1993"
000568-92,"An Ordinance prohibiting the selling of immoral doctrines, obscene publications and exhibitions and the showing of indecent shows and pornographic films and such other films disapproved for public exhibitions and regulating admission to movie house, this Ord. shall be known as the ""Anti-Pornographic"" Ord. of the City of Davao"
000212-91,"Banning the distribution of Bandera Magazine and other papers, magazines and all printed materials displaying obscene pictures in the City of Davao"
000009-91,"Ordinance prohibiting the establishment of funeral parlors/memorial homes within the radius of two hundred (200) meters from residential areas, commercial buildings, hotels, motels, sports complex, parks and playgrounds, tourist centers, institutional buildings including cockpits within the City of Davao"
000153-90A,Imposing parking fees on all vehicle owners/drivers for using certain streets in Davao City as parking spaces and for other purposes
000130-89,An Ordinance prohibiting the pasting of any kind of propaganda materials in city streets and in any public place in the City of Davao.
000143-05,"AN ORDINANCE PROHIBITING THE USE OF CELLULAR PHONES, HAND-HELD RADIOS, PERSONAL DIGITAL ASSISTANT (PDA) AND OTHER SIMILAR ELECTRONIC DEVICES WHILE DRIVING"
000096-16,"An ordinance granting legislative authority to the City Mayor to enter into and sign, the Memorandum of Agreement to be entered into by and among the City Government of Davao, the Barangay Local Government Unit of Calinan, and the Department of Social Welfare and Development (DSWD) in relation to the construction of Daycare center at Purok 21, San Roque, Barangay Calinan Proper, Calinan District, this city"
000116-16,"An ordinance granting legislative authority to the City Mayor to accept and sign, for and in behalf of the City Government of Davao, the Deed of Donation to be executed by datu Pamikiren Latip P. Ayunandatu Arumpac Jr., Librada P. Rufo, JEster G. Oani, Rodolfo C. Catahum, Porferia Valles, Oscar M. Figuracion Jr., and Hon. Halila Y. Sudagar, in favor of the City Government of Davao, relative to the donation of various artifacts for Museo Dabawenyo"
000101-16,"An Ordinance granting legislative authority to Globe Telecommunications Inc. to construct and maintain a 40-meter High Self-Support Tower (SST) at New Matina, SIR Phase II, Barangay 76-A, Bucana, this city, subject to the compliance of the regulatory fee provided for in Ordinance No. 0463-13"
000102-16,"Granting legislative authority to Globe Telecommunications Inc. to construct and maintain a 40-meter High Self-Support Tower (SST) at Salakot Drive, Talomo Proper, Talomo District, this City, subject to the compliance of the regulatory fee provided for in Ordinance No. 0463-13"
000123-60,"An Ordinance to revise, amend and compile all existing ordinances on Municipal license fees, taxes and to  introduce new rates of fees and licenses on other sources of Revenue in the City of Davao (See Ordinance for listings)"
000031-84,"An Ordinance establishing guidelines, standards, rules and regulations for the operation and establishment of an interim bus terminal at the bus terminal site at New Matina, City of Davao, declared and authorized under Resolution No. 7 and Ordinance No. 1 , series of 1984, enacted on Feb. 16, 1984"
000001-84,"An Ordinance defining and segregating a portion of 1.7 hectares of land within the Commercial 2 (C-2) District of the SIR Project site at New Matina, City of Davao, and declaring said area as bus terminal for the City of Davao."
000063-85,"An Ordinance amending Ordinance No. 31 , series of 1984 , entitled "" An Ordinance establishing guidelines, standards, rules and regulations for the operation and establishment of an Interim Bus Terminal at the bus terminal sites at New matina, City of Davao,  declared and authorized under Resolution No. 7, Ordinance No. 1, series 1984, enacted on February 16, 1984."
000158-05,"Ordinance Approving the 2005 Revenue Code of the City of Davao, as amended"
000031-07,"An Ordinance regulating the operation of travel agencies, tour operators and tour guides in the City of Davao"
000019-07,The Davao (Bangoy) International Airport Safety Ordinance of 2007
000217-64,"Prohibiting persons from smoking while inside movie houses and/or theaters in the City of Davao, while seeing the movie"
000271-64,"An ordinance prohibiting the construction of any building and/or drilling of wells within a radius of twenty-five (25)  meters from the perimeter of the new cemetery at Bugac, Ma-a, City of Davao"
000098-56,"Ordinance Penalizing acts of littering, scattering or any careless disposal of waste materials, refuse and other insanitary things in streets, parks, public buildings and other public places in the City of Davao"
000071-11,Ordinance reuiring all drivers of Public Utilitiy Vehicles (PUVs) in the City of Davao to secure an official Identification Card (ID )issued by the City Government of Davao
000144-17,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO UTILIZE A PORTION OF THE THIRTY PERCENT (30%) QUICK RESPONSE FUND (QRF) OUT OF THE FIVE PERCENT (5%) DISASTER RISK REDUCTION AND MANAGEMENT FUND (CALAMITY FUND) OF THE CITY GOVERNMENT OF DAVAO FOR CALENDAR YEAR 2017, IN THE AMOUNT OF TWO MILLION TWO HUNDRED FIFTY THOUSAND PESOS (P2,250,000.00), TO EXTEND FINANCIAL ASSISTANCE TO THE VICTIMS OF FLOOD THAT HIT SEVERAL PROVINCES IN MINDANAO"
000145-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE SPECIFIC IMPLEMENTATION ARRANGEMENTS FOR THE CONSTRUCTION OF CLASSROOMS FOR LUMADS, TO BE ENTERED INTO BY AND AMONG THE CITY GOVERNMENT OF DAVAO, DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT (DSWD), INDIGENOUS PEOPLE MANDATORY REPRESENTATIVE (IPMR) AND THE BARANGAY LOCAL GOVERNMENT OF BARANGAY MARILOG PROPER RELATIVE TO THE CONSTRUCTION OF FOUR (4) CLASSROOMS AT SITIO LAPINIG AND GUILON, BARANGAY MARILOG PROPER, MARILOG DISTRICT, THIS CITY"
000146-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE SPECIFIC IMPLEMENTATION ARRANGEMENTS FOR THE CONSTRUCTION OF CLASSROOMS FOR LUMADS, TO BE ENTERED INTO BY AND AMONG THE CITY GOVERNMENT OF DAVAO, DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT (DSWD), INDIGENOUS PEOPLE MANDATORY REPRESENTATIVE (IPMR) AND THE BARANGAY LOCAL GOVERNMENT OF BARANGAY TAMBOBONG RELATIVE TO THE CONSTRUCTION OF TWO (2) CLASSROOMS AT SITIO LUYAN, BARANGAY TAMBOBONG, BAGUIO DISTRICT, THIS CITY"
000998-74,"An Ordinance regulating the establishment, maintenance and operation of billiard and pool halls and bowling alleys in the City of Davao"
000999-74,"An ordinance prohibiting the construction of houses and/or buildings within the 50 meters distance from the highest tide level along the seashore of the Talomo Beach, Davao City"
000008-98,"An Ordinance Amending Certain Provisions of Ordinance No. 230, series of 1991, as amended, otherwise known as the Tax Code of Davao City, further incorporating therein new provisions thereof"
000199-06,"Ordinance Entitled ""The Anti-Cable Antennae Television (CATV) and Cable Internet Service Provider (ISP) Signal and Equipment Pilferage Ordinance of Davao City"""
000002-99,Ordinance Enacting the Davao City Drug Test Ordinance of 1998
000535-70,"AN ORDINANCE PROVIDING FOR THE ESTABLISHMENT AND MAINTENANCE OF A PUBLIC POUND FOR MOTOR VEHICLES, AUTHORIZING THE IMPOUNDING OF MOTOR VEHICLES UNDER CERETAIN DEFINED CIRCUMSTANCES AND AUTHORIZING THE COLLECTION OF IMPOUNDING FEES THEREFOR AND FOR OTHER PURPOSEs; This ordinance shall be known  as the ""Motor Vehicle Impounding Ordinance of the City of Davao."
000707-73,"An Ordinance creating the Davao City Water District pursuant to the provision of Presidential Decree No. 198, otherwis eknown as the ""Provincial Utilities Act of 1973"" and providing for the government and administration of such District and for other purposes"
000109-67,"Prescribing rules and regulations in the sale, disposal and/or acquisition of lots and in the construction of niches and gravemarkers and/or tombstone at the Davao City Public Cemetery, Ma-a, this City."
000297-06,An Ordinance  Establishing the  Davao Sister Cities Program
000292-06,"An Ordinance known as the ""Comprehensive Children and Family Support System in Davao City, as amended"", otherwise known as the ""Davao City Children`s Welfare Code, as amended"""
000309-07,Ordinance Banning Aerial Spraying as an Agricultural Practice in all Agricultural Activities by all  Agricultural  Entities in Davao City
000310-07,"The Watershed Protection, Conservation and Management Ordinance of Davao City hereinafter referred to as the "" Watershed Code"""
000036-56,"An Ordinance regulating the establishment, maintenance and operation of billiard and pool halls and bowling alleys in the City of Davao."
000326-07,"Ordinance further Amending Ordinance No. 0253-06, an Ordinance amending the provision of Section 69, paragraph (d) of City Ordinance No. 158-05, Series of 2005, otherwise known as “The 2005 Revenue Code of the City of Davao”, specifically Section 4 thereof, by deleting the phrase: “to be imposed on essential and non-essential commodities,” which shall now read as follows: “The provision of this Ordinance shall be applicable only to retailers with gross sales/receipts  in  excess  of P400,000.00"""
000156-60,"An Ordinance to ban and/or prohibit the use, playing, operation and maintenance of pinball and other similar devices""."
000375-07,An ordinance for the establishment and management of the Davao City Marine Protected Areas and providing funds thereof
000030-07,AN ORDINANCE AMENDING SECTION 89 (1) OF THE 2005 REVENUE CODE OF DAVAO CITY
000023-85,"An Ordinance establishing  the ""Freedom Park"", a site for the people of Davao City to assemble peacefully, where they can air their grievances against the government or any person or entity without securing a permit from the City Government subject to certain condition"
000084-08,"AN ORDINANCE AMENDING ORDINANCE NO. 110, SERIES OF 1986, OTHERWISE KNOWN AS THE “DAVAO CITY OVERLAND TRANSPORT TERMINAL ORDINANCE”, BY INCREASING THE TERMINAL AND RENTAL FEES THEREIN"
000085-08,"AN ORDINANCE AMENDING CITY ORDINANCE NO. 0195-04, SERIES OF 2004, OTHERWISE KNOWN AS “THE PUBLIC UTILITY REROUTING SCHEME FOR THE CITY OF DAVAO”, IN ORDER TO GRANT THE REQUEST OF ROUTE 10-B MULTI-PURPOSE COOPERATIVE FOR DEVELOPMENTAL ROUTE OF ROUTE 10"
000195-67,Requiring all movie or cinema houses and/or theaters or coliseums operating within the City of Davao to provide facilities or contrivance whereby the public or its patrons can avail of a safe and sanitary drinking water at all times during screening hours
000198-17,"An ordinance amending Ordinance No. 0266-06/Resolution No. 02966-06, Series of 2006 otherwise known as ""An ordinance establishing the Museo Dabawenyo providing for its permanent home and for other purposes,"" particularly Section 4 of the same, to allow the transfer of the Museum`s location from A. Pichon Street to Palma Gil Street, within the premises of People`s Park"
000106-08,"AN ORDINANCE AMENDING ARTICLE 13 OF ORDINANCE NO. 2269, SERIES OF 1994, OTHERWISE KNOWN AS “THE DAVAO CITY INVESTMENT INCENTIVE CODE OF 1994, AS AMENDED"""
000281-72,Zonification Ordinance of the City of Davao
001457-74,"An Ordinance prohibiting the loosening or letting astray of dogs in the City of Davao, providing for the catching and impounding of the same, collection of fees for impounding them and providing further for their disposition when not claimed within a certain period and providing for penalty in case of violation thereof."
000084-71,"Amending Section 1, 4 and 5 of Ordinance No. 26, series of 1952, otherwise known as the Curfew Ordinance of the City of Davao, the same to read as follows: ""SEC. 1.- It shall be unlawful for any child below sixteen (16) years of age to be loitering around after seven (7) o`clock in the evening unless they are in company with their parents or guardians; and for any such child to be sleeping in public places like the markets, wharves, empty bodegas or houses, sidewalks or alleys, showhouses, etc."
000094-08,"AN ORDINANCE AMENDING ORDINANCE NO. 108, SERIES OF 2000, OTHERWISE KNOWN AS, ""THE PUBLIC UTILITY REROUTING SCHEME FOR THE CITY OF DAVAO"""
000232-06,"Ordinance Prohibiting entertainment and other business establishments from allowing entry of persons with firearms, ammunitions and explosives and for other related acts and providing penalties therefor"
001710-75A,An Ordinance banning and/or prohibiting the operation of Juke Boxes within City Public Markets in the City of Davao and providing penalty therefor.
000172-09,An ordinance establishing a Hearing Screening Program for all infants in Davao City
000173-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO SMART TELECOMMUNICATIONS, INC TO CONSTRUCT, INSTALL, PROVIDE, MAINTAIN AND OPERATE A 30.0 METER 3 LEGGED SELF SUPPORT CELL SITE TOWER AT SITIO FELOMINA, CATALUNAN GRANDE, TALOMO DISTRICT, THIS CITY, SUBJECT TO THE COMPLIANCE OF THE REGULATORY FEES AS PROVIDED FOR IN ORDINANCE NO. 0463-13, SERIES OF 2013"
000175-17,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO UTILIZE A PORTION OF THE THIRTY PERCENT (30%) QUICK RESPONSE FUND (QRF) OUT OF THE FIVE PERCENT (5%) DISASTER RISK REDUCTION AND MANAGEMENT FUND (CALAMITY FUND) OF THE CITY GOVERNMENT OF DAVAO FOR CY 2017, IN THE TOTAL AMOUNT OF SEVEN HUNDRED FIFTY THOUSAND PESOS (P750,000.00), TO EXTEND FINANCIAL ASSISTANCE TO THE EARTHQUAKE VICTIMS IN BATANGAS CITY AND THE MUNICIPALITIES OF TINGLOY AND MABINI, ALL OF BATANGAS PROVINCE, SUBJECT TO THE EXISTING GOVERNMENT BUDGETING, ACCOUNTING AND AUDITING RULES AND REGULATIONS"
000178-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DEPARTMENT OF AGRICULTURE-REGIONAL FIELD OFFICE, FOR THE 2016 PAMANA LIVELIHOOD-MUNICIPAL FISHERY DEVELOPMENT PROJECT IN THE AMOUNT OF TWO MILLION PESOS (2,000,000.00), FOR THE MNLF COMMUNITY IN TAMO AMINA MUSLIM VILLAGE, PUROK 77, BANGKAL, TALOMO DISTRICT, DAVAO CITY"
000186-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT (MOA) TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT (DSWD)-FIELD OFFICE XI, FOR THE CONSTRUCTION OF DAY CARE  CENTER AT PUROK 4-A, BARANGAY PANGYAN, CALINAN DISTRICT, THIS CITY"
000278-17,"An ordinance granting legislative authority to the City Mayor to  sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement (MOA) to be  entered into by and between  the City Government of Davao and the Bureau of Fire protection (BFP), with respect to the release of the  (20%) LGU share in the Fire Code Revenue collected for Calendar Year  2010 to 2015"
000306-17,An ordinance creating the City Transport and Traffic Management Office (CTTMO)
000218-09,"An ordinance establishing the Davao City Parks System, creating the Parks System Board and for other purposes"
000387-18,"An Ordinance authorizing the City Mayor to sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement (MOA) to be executed by and among the City Government of Davao, Ronald McDonald House Charities of the Philippines, Inc. and the Barangay Council of Barangay Mintal, Davao City, for the construction of the ""Ronald McDonald Bahay Bulilit"" Day Care Center (DCC) Project in Barangay Mintal, Tugbok District, this City"
000310-17,An ordinance establishing Violence Against Women (VAW) desk and protocol in handling VAW cases at barangay level
000375-17,"An ordinance repealing City Oridnance No. 156, Series of 1960, otherwise known as ""An ordinance to ban and/or prohibit the use, playing, operation and maintenance of pinball machines and other similar devices"""
000370-17,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Letter from BDO Foundation extending their Rural Health Unit (RHU) Rehabilitation Program to the three (3) Rural Health Units in Davao City, namely; Agdao Health Center, the Toril Health Center and the E. Jacinto Health Center, which requires the conforme of the City Mayor"
000383-18,"An ordinance requiring the food service industry within the territorial jurisdiction of davo City to include one-half cup of cooked rice in their menu, providing penalties therefor and for other purposes"
000033-88,"An Ordinance creating Ten (10) Barangays out of the mother Barangay of Agdao, Buhangin District, Davao City, to be named as : 1. Barangay Leon Garcia Sr.; 2. Barangay Kapitan Tomas Monteverde Sr.; 3. Barangay Agdao; 4. Barangay Gov. Paciano Bangoy;5. Barangay Wilfredo Aquino; 6. Barangay San Antonio; 7. Barangay Gov. Vicente Duterte; 8. Barangay Rafael Castillo; 9. Barangay Centro (San Juan); and 10. Barangay Lapulapu, pursuant to the provision of Section 82 on the Local Government Code (Batas Pambansa Blg. 337)"
000030-88,"An Ordinance to amend and revise Ordinance No. 142, series of 1955, otherwise known as ""THE ANTI -NUISANCE ORDINANCE""."
000230-91A,"An Ordinance creating the People`s Law Enforcement Board (PLEB) in the three (3) Legislative districts of Davao City particularly District, 1 District, II and District III, in pursuance to Section 43 of Republic Act No. 6975, otherwise known as An Act Establishing the Philippine National Police under a re-organized Department of Interior and Local Government and for other purposes and likewise in pursuance of NAPOLCOM Memorandum Circular No. 91-002, otherwise known as the Rules of Procedures before the PLEB."
000230-91,"An Ordinance entitled ""Revised Local Tax Code of Davao City""."
000179-17,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND AMONG THE CITY GOVERNMENT OF DAVAO, THE DEPARTMENT OF HEALTH, THE BARRIO DOCTORS, NAMELY: DR. MYLES CLEMENT R. ABABON AND DR. KRISTIAN JUN C. LOMPOT, RELATIVE TO THE LATTER`S DEPLOYMENT TO GEOGRAPHICALLY ISOLATED AND DISADVANTAGED AREAS (GIDAS)/HEALTH FACILITIES IN THE CITY, AS PART OF THE DOH-DOCTORS TO THE BARRIO (DTTB) PROGRAM"
000180-17,"AN ORDINANCE ACCEPTING THE DONATION OF TWO (2) UNITS ELECTRIC BIKES (E-BIKES) AND GRANTING AUTHORITY TO THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE DEED OF DONATION TO BE EXECUTED BY MSS CYCLE TRADING (MOTORSTAR) IN FAVOR OF THE CITY GOVERNMENT OF DAVAO"
